"Id";"代号";"封装";"数量";"名称";"供应商和REF";
1;"U10";"TSSOP-16_4.4x5mm_P0.65mm";1;"SN74CB3Q3257";;;
2;"L3,L2,L4,L1";"L_7.3x7.3_H4.5";4;"10uh";;;
3;"R20";"R_0805_2012Metric";1;"105k";;;
4;"C36,C53";"C_0805_2012Metric";2;"10pf";;;
5;"J11";"PinSocket_1x04_P2.54mm_Vertical";1;"usb_in";;;
6;"C21,C22,C35,C45,C47,C50,C52,C54,C13,C14,C15,C16";"C_0805_2012Metric";12;"100nf";;;
7;"J10";"usb_c_24p_smd";1;"USB_C_Receptacle";;;
8;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_ISO7380";4;"MountingHole";;;
9;"C26,C25,C24,C38,C39,C44,C40,C30";"C_0603_1608Metric";8;"220nf/25v";;;
10;"U1";"SOT-23-6";1;"TPS54202H";;;
11;"U6";"spdif-DLT11H0";1;"DLT11H0";;;
12;"C56";"C_0805_2012Metric";1;"1uf";;;
13;"C55,C46,C48";"C_0805_2012Metric";3;"10uf";;;
14;"C49";"C_0805_2012Metric";1;"4.7nf";;;
15;"C51";"C_0805_2012Metric";1;"68nf";;;
16;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"mute";;;
17;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"encoder";;;
18;"J8";"PinHeader_1x04_P2.54mm_Vertical";1;"i2s1";;;
19;"J9";"PinHeader_1x05_P2.54mm_Vertical";1;"i2s_bt";;;
20;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
21;"L5";"L_7.3x7.3_H4.5";1;"15uh";;;
22;"U8";"TQFP-32_7x7mm_P0.8mm";1;"PCM2707C";;;
23;"U7";"TSSOP-28_4.4x9.7mm_P0.65mm";1;"dir9001";;;
24;"U9";"SOT-23-5";1;"LP5907";;;
25;"R11,R12,R13,R14,R9,R7,R6,R5";"R_0805_2012Metric";8;"9.53k";;;
26;"R15";"R_0805_2012Metric";1;"680";;;
27;"R17,R18";"R_0805_2012Metric";2;"1m";;;
28;"R19";"R_0805_2012Metric";1;"1.5k";;;
29;"R16";"R_0805_2012Metric";1;"5.1K";;;
30;"J3";"kf7.62";1;"speaker L";;;
31;"J4";"kf7.62";1;"speaker R";;;
32;"C4,C1,C2,C3";"C_0805_2012Metric";4;"0.68uf/25v";;;
33;"C7,C18,C43,C42,C28,C29,C32";"C_0805_2012Metric";7;"100nf/50v";;;
34;"C8";"C_0805_2012Metric";1;"0.1uf";;;
35;"C9,C12,C10,C41,C6,C23,C27,C37";"C_0805_2012Metric";8;"22uf/25v";;;
36;"C19,C20,C33,C34";"C_0805_2012Metric";4;"1uf/25v";;;
37;"C11";"C_0805_2012Metric";1;"75pf";;;
38;"C17,C31";"C_0805_2012Metric";2;"10uf/25v";;;
39;"C5";"CP_Radial_D16.0mm_P7.50mm";1;"2200uf 35v";;;
40;"J5";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
41;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"i2c";;;
42;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"swd";;;
43;"U3";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
44;"U4,U5";"HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm";2;"tas5805m";;;
45;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
46;"R2";"R_0805_2012Metric";1;"49.9k";;;
47;"R3";"R_0805_2012Metric";1;"100k";;;
48;"R4";"R_0805_2012Metric";1;"13.3k";;;
49;"R10";"R_0805_2012Metric";1;"15k";;;
50;"R8";"R_0805_2012Metric";1;"4.7k";;;
51;"R1";"R_0805_2012Metric";1;"510k";;;
